window,model,seed,mse_log_rv,mae_log_rv,mse_rv,mae_rv,qlike_variance,directional_accuracy,period
120,CRLX,2,0.11901491316494132,0.31268342882867267,0.00015365581602497824,0.011184893997936115,0.24805751572837223,0.5,last12
120,CRLX,3,0.11033294588508158,0.29806451598954103,0.00013917782217142714,0.010573885576642785,0.21397815540075327,0.5,last12
120,CRLX,4,0.11658336740810941,0.2953166586885504,0.0001432274754035339,0.010365515040855288,0.2511753898173567,0.5833333333333334,last12
120,HAR,0,0.09018433793578319,0.2600165634117564,0.000111943376983288,0.009183011781048135,0.18548170724351687,0.6666666666666666,last12
120,HARX,0,0.09379439685077517,0.2745586050001358,0.0001233044749328011,0.009757102382727539,0.20770002023168618,0.75,last12
120,LSTM,0,0.06888576790423341,0.22882169037940783,8.583511889147899e-05,0.008053774538941188,0.1355846116652144,0.5833333333333334,last12
120,LSTM,1,0.07234210065681877,0.23303084659563814,9.00498232129124e-05,0.008186366761139133,0.14411373755430382,0.6666666666666666,last12
120,LSTM,2,0.07095259309176159,0.23182639078585274,8.909134026224208e-05,0.00815827130233226,0.14222985800434892,0.75,last12
120,LSTM,3,0.06925237046948175,0.22882224954298078,8.754546910373146e-05,0.008056946024865624,0.14018147086386598,0.75,last12
120,LSTM,4,0.0647795946660932,0.22394075155198057,8.201052869349657e-05,0.007890288148411037,0.13014131897600378,0.75,last12
120,LSTMX,0,0.07072038476966387,0.22768593234475965,8.95705306698333e-05,0.008003998166895928,0.14380526299294497,0.75,last12
120,LSTMX,1,0.0702902228985781,0.2220638095254157,8.948417034834227e-05,0.0077925981058017514,0.14484296514113038,0.75,last12
120,LSTMX,2,0.06572151141026134,0.21750925282805242,8.268766662782209e-05,0.007644903719309347,0.13105654950118406,0.8333333333333334,last12
120,LSTMX,3,0.06484619380326995,0.21832754362930296,8.278242286770114e-05,0.007678845268385342,0.1324965602179371,0.75,last12
120,LSTMX,4,0.06691091824248188,0.2217157879650348,8.452979592656161e-05,0.007779817590123746,0.13603580770640833,0.75,last12
120,Persistence,0,0.1358592730807314,0.3249785707227574,0.0001684765433045209,0.011458272606714974,0.31362176784495416,0.16666666666666666,last12
120,QR1,0,0.10751414677294796,0.29284130595043,0.00013903870816198851,0.010384648918823862,0.24420348177848847,0.6666666666666666,last12
120,QR1,1,0.10028778115241704,0.28033905253828145,0.00013163602452712122,0.009993624227655984,0.22216294722078314,0.5833333333333334,last12
120,QR1,2,0.10303265293679309,0.28086105615065193,0.0001365206962799287,0.01009941564714467,0.21722084926691365,0.5833333333333334,last12
120,QR1,3,0.1075175452201048,0.2938922619484354,0.00014064009734403546,0.010422018001174057,0.24906800540676519,0.6666666666666666,last12
120,QR1,4,0.10021239170847085,0.2792390108969621,0.00013338094871474926,0.010003765876430162,0.21965325223953872,0.5833333333333334,last12
